,Accession number,UniProt Annotation Status,Description,Cluster numbers
7582,A0A0D2MU26,TrEMBL,Putative N-acetyltransferase ,78
7583,A0A150G553,TrEMBL,Uncharacterized protein ,78
7584,H3GUU7,TrEMBL,Uncharacterized protein ,78
7585,B7XGW9,TrEMBL,Arylalkylamine N-acetyltransferase ,78
7586,E1Z959,TrEMBL,Uncharacterized protein ,78
7587,K8EPH5,TrEMBL,Uncharacterized protein ,78
7588,F0XZ67,TrEMBL,Uncharacterized protein ,78
7589,T0RWM0,TrEMBL,Uncharacterized protein ,78
7590,A0A059LMC0,TrEMBL,Uncharacterized protein ,78
7591,B7GBL8,TrEMBL,Predicted protein ,78
7592,T0QA14,TrEMBL,Uncharacterized protein ,78
7593,D7G2Q8,TrEMBL,Uncharacterized protein ,78
7594,A0A225W6W4,TrEMBL,Uncharacterized protein ,78
7595,A0A1Y1HZU2,TrEMBL,Uncharacterized protein ,78
7596,C1MRZ2,TrEMBL,Predicted protein ,78
7597,A0A0N7L5X5,TrEMBL,Phenazine biosynthesis protein family ,78
7598,A0A1V9ZH74,TrEMBL,Uncharacterized protein ,78
7599,K0RD77,TrEMBL,Uncharacterized protein ,78
7600,A0A0G4FCC2,TrEMBL,Uncharacterized protein ,78
7601,A0A0G4ELI9,TrEMBL,Uncharacterized protein ,78
7602,A0A1V9YSY1,TrEMBL,Ubiquitin-specific protease ,78
7603,A0A1V9Z3Q2,TrEMBL,Uncharacterized protein ,78
7604,A0A1E7FXW1,TrEMBL,Uncharacterized protein ,78
7605,T0Q990,TrEMBL,Uncharacterized protein ,78
7606,A0A1V9Y8V0,TrEMBL,Uncharacterized protein ,78
7607,A0A177CX69,TrEMBL,Acyl-CoA N-acyltransferase ,79
7608,W2S4Y6,TrEMBL,Uncharacterized protein ,79
7609,M3C5X5,TrEMBL,Acyl-CoA N-acyltransferase ,79
7610,A0A0C3HK73,TrEMBL,Uncharacterized protein ,79
7611,A0A0D1Z5G6,TrEMBL,Uncharacterized protein ,79
7612,W9ZJE2,TrEMBL,Uncharacterized protein ,79
7613,A0A178ABI6,TrEMBL,GCN5-related N-acetyltransferas-like protein ,79
7614,A0A177D6S8,TrEMBL,Uncharacterized protein ,79
7615,H6C1V4,TrEMBL,Uncharacterized protein ,79
7616,A0A1B8EWJ4,TrEMBL,Uncharacterized protein ,79
7617,W9Z386,TrEMBL,Uncharacterized protein ,79
7618,A0A0D1ZQA4,TrEMBL,Uncharacterized protein ,79
7619,A0A094HMF4,TrEMBL,Uncharacterized protein ,79
7620,A0A072PDW6,TrEMBL,Uncharacterized protein ,79
7621,M2YQ99,TrEMBL,Uncharacterized protein ,79
7622,Q0UYF8,TrEMBL,Uncharacterized protein ,79
7623,A0A094CK55,TrEMBL,Uncharacterized protein ,79
7624,A0A163BQI1,TrEMBL,N-acetyltransferase ,79
7625,G1XV91,TrEMBL,Uncharacterized protein ,79
7626,A0A178DN69,TrEMBL,Uncharacterized protein ,79
7627,A0A139GZG0,TrEMBL,Uncharacterized protein ,79
7628,A0A0D2DNL8,TrEMBL,Uncharacterized protein ,79
7629,E4ZS84,TrEMBL,Similar to GCN5-related N-acetyltransferase ,79
7630,A0A1Y1Y956,TrEMBL,GCN5-related N-acetyltransferas-like protein ,79
7631,A0A1V8SXY5,TrEMBL,Uncharacterized protein ,79
7632,M2SG63,TrEMBL,Uncharacterized protein ,79
7633,A0A0N0NI11,TrEMBL,Putative acetyltransferase OgpAT ,79
7634,D5GGD8,TrEMBL,Uncharacterized protein ,79
7635,A0A0D2ICL7,TrEMBL,Rhinocladiella mackenziei CBS 650.93 unplaced genomic scaffold supercont1.8,79
7636,A0A1Y2A296,TrEMBL,Acyl-CoA N-acyltransferase ,79
7637,U4L6I7,TrEMBL,Similar to Uncharacterized N-acetyltransferase MJ1207 acc. no. Q58604 ,79
7638,B8LVD0,TrEMBL,Transmembrane glycoprotein,80
7639,C5G0N5,TrEMBL,Acetyltransferase ,80
7640,A0A0F4Z234,TrEMBL,Transmembrane glycoprotein ,80
7641,A0A178AFT7,TrEMBL,Acetyltransferas-like protein ,80
7642,E5R460,TrEMBL,Similar to acetyltransferase ,80
7643,U1HVF6,TrEMBL,Uncharacterized protein ,80
7644,C4JTH2,TrEMBL,Uncharacterized protein ,80
7645,U4LM95,TrEMBL,Similar to Uncharacterized N-acetyltransferase STK_02580 acc. no. Q976C3 ,80
7646,E4V6L7,TrEMBL,Acetyltransferase ,80
7647,A0A1L9X3C0,TrEMBL,Uncharacterized protein ,80
7648,A0A1W5DBT4,TrEMBL,Gnat family ,80
7649,F0USD5,TrEMBL,Acetyltransferase ,80
7650,A2QQ01,TrEMBL,Aspergillus niger contig An08c0020,80
7651,V5HZ50,TrEMBL,Acetyltransferase,80
7652,A0A0U5A1R1,TrEMBL,Putative Acetyltransferase,80
7653,A0A168D0K8,TrEMBL,Acyl-CoA N-acyltransferase ,80
7654,A0A177D091,TrEMBL,Acyl-CoA N-acyltransferase ,80
7655,A0A1D2J8J3,TrEMBL,Uncharacterized protein ,80
7656,A0A1V6R4G5,TrEMBL,Uncharacterized protein ,80
7657,Q4WTH7,TrEMBL,Acetyltransferase,80
7658,B2W1T3,TrEMBL,Acetyltransferase ,80
7659,A0A1Y1ZGM4,TrEMBL,Acyl-CoA N-acyltransferase ,80
7660,D4AUU6,TrEMBL,Acetyltransferase,80
7661,A0A0H1BCX1,TrEMBL,Uncharacterized protein ,80
7662,A0A165IZ18,TrEMBL,Acetyltransferas-like protein ,80
7663,Q0UTA5,TrEMBL,Uncharacterized protein ,80
7664,W6ZA67,TrEMBL,Uncharacterized protein ,80
7665,A0A0J8QLX9,TrEMBL,Acetyltransferase ,80
7666,A0A1B7P7G1,TrEMBL,Uncharacterized protein ,80
7667,A0A0K8LL31,TrEMBL,CUE domain-containing protein 5 ,80
7668,S7ZGZ1,TrEMBL,Uncharacterized protein ,80
7669,F7W8W7,TrEMBL,WGS project CABT00000000 data,81
7670,A0A0D2AKH6,TrEMBL,Uncharacterized protein ,81
7671,J3P5X5,TrEMBL,Uncharacterized protein ,81
7672,A0A0F7ZMQ4,TrEMBL,Uncharacterized protein ,81
7673,A0A1J7IDI8,TrEMBL,Uncharacterized protein ,81
7674,C9SHE5,TrEMBL,Uncharacterized protein ,81
7675,A0A1Y2WWF5,TrEMBL,Uncharacterized protein ,81
7676,M1W5F9,TrEMBL,Uncharacterized protein ,81
7677,W3X9Z9,TrEMBL,Uncharacterized protein ,81
7678,A0A162JV28,TrEMBL,Acyl-CoA N-acyltransferase ,81
7679,N4UPV7,TrEMBL,Uncharacterized protein ,81
7680,A0A146HA94,TrEMBL,Triacylglycerol lipase ,81
7681,A0A1V1SQL8,TrEMBL,Uncharacterized protein ,81
7682,A0A086SWW7,TrEMBL,Uncharacterized protein ,81
7683,A0A0N0RT52,TrEMBL,Uncharacterized protein ,81
7684,A0A0C9W1H0,TrEMBL,Unplaced genomic scaffold SPHSTscaffold_37,81
7685,A0A175WGA0,TrEMBL,Uncharacterized protein YxbD ,81
7686,A0A0B7KAR0,TrEMBL,Uncharacterized protein ,81
7687,A0A179GMN7,TrEMBL,Acetyltransferase (GNAT) family domain-containing protein ,81
7688,A0A1Y2VG59,TrEMBL,Uncharacterized protein ,81
7689,R8BD55,TrEMBL,Uncharacterized protein ,81
7690,A0A1T3C728,TrEMBL,GCN5-N-acetyltransferase ,81
7691,A0A1T3CTX8,TrEMBL,Uncharacterized protein ,81
7692,A0A084RI78,TrEMBL,Uncharacterized protein ,81
7693,A0A179FMY5,TrEMBL,Acetyltransferase (GNAT) family domain-containing protein ,81
7694,C7ZF19,TrEMBL,Uncharacterized protein ,81
7695,A0A0P7C021,TrEMBL,Uncharacterized protein ,81
7696,A0A0L0NGE5,TrEMBL,Uncharacterized protein ,81
7697,A0A1B8AW96,TrEMBL,Uncharacterized protein ,81
7698,I0YJM2,TrEMBL,Histone acetyltransferase ,82
7699,A0A250XIY9,TrEMBL,Uncharacterized protein ,82
7700,A0A178W407,TrEMBL,Uncharacterized protein ,82
7701,A0A0A9VGF6,TrEMBL,Uncharacterized protein ,82
7702,A0A090M8N9,TrEMBL,Acyl-CoA N-acyltransferase ,82
7703,A0A0D2LL61,TrEMBL,Putative acetyltransferase NSI ,82
7704,A0A0U9HQG0,TrEMBL,Acyl-CoA N-acyltransferase domain-containing protein ,82
7705,A0A1U7W2P4,TrEMBL,uncharacterized N-acetyltransferase ycf52 ,82
7706,A0A0D2MIJ3,TrEMBL,Putative acetyltransferase NSI ,82
7707,A0A0K9NTD5,TrEMBL,Putative N-acetyltransferase ycf52 ,82
7708,A9RYA9,TrEMBL,Predicted protein ,82
7709,M0S5D7,TrEMBL,Uncharacterized protein ,82
7710,W1P511,TrEMBL,Uncharacterized protein ,82
7711,I1I090,TrEMBL,Uncharacterized protein ,82
7712,Q6Z1Y6,SwissProt,Serotonin N-acetyltransferase 2,82
7713,A0A061S221,TrEMBL,Histone acetyltransferase ,82
7714,A0A0A0KR11,TrEMBL,Uncharacterized protein ,82
7715,A0A199V7U7,TrEMBL,Putative N-acetyltransferase ycf52 ,82
7716,A0A1D1XDJ0,TrEMBL,Putative N-acetyltransferase ycf52 ,82
7717,A0A061EA59,TrEMBL,Acyl-CoA N-acyltransferases superfamily protein ,82
7718,D8TCE6,TrEMBL,Uncharacterized protein ,82
7719,A0A0K9QY26,TrEMBL,Uncharacterized protein ,82
7720,A9NPF8,TrEMBL,Uncharacterized protein ,82
7721,A0A067KGN8,TrEMBL,Uncharacterized protein ,82
7722,A0A059D7S6,TrEMBL,Uncharacterized protein ,82
7723,A0A0E0APT3,TrEMBL,Uncharacterized protein ,82
7724,C1E6L9,TrEMBL,Gcn5-related n-acetyltransferase ,82
7725,E1ZAI5,TrEMBL,Uncharacterized protein ,82
7726,A0A287X060,TrEMBL,Uncharacterized protein ,82
7727,A0A150G7C0,TrEMBL,Uncharacterized protein ,82
7728,A0A1D2A8B4,TrEMBL,Uncharacterized protein ,82
7729,C1MUT4,TrEMBL,Predicted protein ,82
7730,A0A0K9NZ56,TrEMBL,Putative N-acetyltransferase ,83
7731,A0A166ATL2,TrEMBL,Uncharacterized protein ,83
7732,A0A1U7YXC4,TrEMBL,histone acetyltransferase MCC1 ,83
7733,A0A059B848,TrEMBL,Uncharacterized protein ,83
7734,D8RZW6,TrEMBL,Uncharacterized protein ,83
7735,A0A0D2JN96,TrEMBL,Uncharacterized protein ,83
7736,A0A0K9RNP3,TrEMBL,Uncharacterized protein ,83
7737,A0A218WSA5,TrEMBL,Uncharacterized protein ,83
7738,A0A1Y1HSY1,TrEMBL,Uncharacterized protein ,83
7739,A9SJI3,TrEMBL,Predicted protein ,83
7740,M0SQY4,TrEMBL,Uncharacterized protein ,83
7741,Q9M8T9,SwissProt,Histone acetyltransferase MCC1,83
7742,A0A1S3ZU28,TrEMBL,histone acetyltransferase MCC1-like ,83
7743,M0ZU69,TrEMBL,Uncharacterized protein ,83
7744,A0A118K4G3,TrEMBL,Acyl-CoA N-acyltransferase ,83
7746,A0A0D2S631,TrEMBL,Uncharacterized protein ,83
7747,K3YYC3,TrEMBL,Uncharacterized protein ,83
7748,A0A218X4H6,TrEMBL,Uncharacterized protein ,83
7749,A0A1D1XWA6,TrEMBL,N-alpha-acetyltransferase 60 ,83
7750,A0A164WTC8,TrEMBL,Uncharacterized protein ,83
7751,A0A078HXD5,TrEMBL,BnaA05g32260D protein ,83
7752,A0A0A0LTS1,TrEMBL,Uncharacterized protein ,83
7753,A0A1R3JNP6,TrEMBL,Uncharacterized protein ,83
7754,R0HE03,TrEMBL,Uncharacterized protein ,83
7755,A0A1J6IAP2,TrEMBL,Histone acetyltransferase mcc1 ,83
7756,I1JAM7,TrEMBL,Uncharacterized protein ,83
7757,U5CQS0,TrEMBL,Uncharacterized protein ,83
7758,M7YWT0,TrEMBL,N-acetyltransferase 15 ,83
7759,L8GT75,TrEMBL,Acetyltransferase ,83
7760,A0A074WPG0,TrEMBL,Acyl-CoA N-acyltransferase ,84
7761,W7N663,TrEMBL,Uncharacterized protein ,84
7762,A0A179H424,TrEMBL,Acetyltransferase protein ,84
7763,A0A0N8H5M2,TrEMBL,Uncharacterized protein ,84
7764,A0A1Q5T2W6,TrEMBL,Uncharacterized protein ,84
7765,B8LY62,TrEMBL,Uncharacterized protein ,84
7766,G9MH77,TrEMBL,Uncharacterized protein ,84
7767,A0A1V6S907,TrEMBL,Uncharacterized protein ,84
7768,I1S6T9,TrEMBL,Uncharacterized protein ,84
7769,A0A074XLL2,TrEMBL,Acyl-CoA N-acyltransferase ,84
7770,A0A1F5LIY2,TrEMBL,Uncharacterized protein ,84
7771,A0A1V6TZ85,TrEMBL,Uncharacterized protein ,84
7772,A0A0B7K206,TrEMBL,Uncharacterized protein ,84
7773,A0A0U5GJH7,TrEMBL,Uncharacterized protein ,84
7774,A0A1Q8RPT7,TrEMBL,Mycothiol acetyltransferase ,84
7775,A0A0M9ERL0,TrEMBL,Acetyltransferase protein ,84
7776,A0A179F4A5,TrEMBL,Acetyltransferase ,84
7777,R8BUX1,TrEMBL,Putative acetyltransferase protein ,84
7778,E3QN31,TrEMBL,Acetyltransferase ,84
7779,H1VFU5,TrEMBL,Acetyltransferase ,84
7781,A0A0F7ZK50,TrEMBL,Uncharacterized protein ,84
7782,A0A074VEA0,TrEMBL,Acyl-CoA N-acyltransferase ,84
7783,W3XJB4,TrEMBL,Uncharacterized protein ,84
7784,A0A074YQ62,TrEMBL,Uncharacterized protein ,84
7785,A0A1L9TJ46,TrEMBL,Uncharacterized protein ,84
7786,C7ZFQ6,TrEMBL,Uncharacterized protein ,84
7787,A0A0L0MXY9,TrEMBL,Uncharacterized protein ,84
7788,A0A168G0G1,TrEMBL,Cytochrome b5 ,85
7789,A0A151GJT5,TrEMBL,Putative acetyltransferase protein ,85
7790,A0A1V1TJY1,TrEMBL,Uncharacterized protein ,85
7791,A0A194V678,TrEMBL,Uncharacterized protein ,85
7792,G3JTD5,TrEMBL,GCN5-related N-acetyltransferase ,85
7793,A0A167GFN7,TrEMBL,Acyl-CoA N-acyltransferase ,85
7794,A0A167NVY9,TrEMBL,GCN5-related N-acetyltransferase ,85
7795,G2QVQ8,TrEMBL,Uncharacterized protein ,85
7796,A0A167EMC6,TrEMBL,Acyl-CoA N-acyltransferase ,85
7797,A0A0C4DXM0,TrEMBL,Acetyltransferase ,85
7798,A0A084RXA6,TrEMBL,Uncharacterized protein ,85
7799,A0A0P7BAD8,TrEMBL,Uncharacterized protein ,85
7800,M1W0J0,TrEMBL,Uncharacterized protein ,85
7801,R8BEF0,TrEMBL,Putative gcn5-related n-acetyltransferase protein ,85
7802,B2AEJ9,TrEMBL,Podospora anserina S mat+ genomic DNA chromosome 5,85
7803,A0A086T4X1,TrEMBL,Uncharacterized protein ,85
7804,G9N486,TrEMBL,Uncharacterized protein ,85
7805,A0A0A1TD01,TrEMBL,Uncharacterized protein ,85
7806,A0A0G4N9B8,TrEMBL,Uncharacterized protein ,85
7807,A0A165HT85,TrEMBL,GNAT family protein ,85
7808,A0A024S7H5,TrEMBL,Putative acetyltransferase ,85
7809,A0A0N0DET3,TrEMBL,Murein transglycosylase ,85
7810,A0A136IYX4,TrEMBL,Acyl-CoA N-acyltransferase ,85
7811,A0A1J7JLB4,TrEMBL,Acetyltransferase ,85
7812,A0A0A2VRN1,TrEMBL,Uncharacterized protein ,85
7813,A0A0G2HT36,TrEMBL,Putative acetyltransferase ,85
7814,W3WKP5,TrEMBL,Uncharacterized protein ,85
7815,A0A1B7YNG7,TrEMBL,Acetyltransferase ,85
7816,A0A136INI8,TrEMBL,Acyl-CoA N-acyltransferase ,85
7817,N4VZ36,TrEMBL,Gcn5-related n-acetyltransferase ,85
7818,A0A166W6E5,TrEMBL,GCN5-related N-acetyltransferase ,85
7819,R8B9L2,TrEMBL,Putative acetyltransferase protein ,85
7820,A0A1Q8RMX9,TrEMBL,Uncharacterized protein ,85
7821,A0A0C3CZS8,TrEMBL,Uncharacterized protein ,85
7822,A0A0L0NML7,TrEMBL,Uncharacterized protein ,85
7823,A0A175VSM6,TrEMBL,Lysine acetyltransferase ,86
7824,A0A0U1LN96,TrEMBL,Uncharacterized protein ,86
7825,W9Y4X1,TrEMBL,Uncharacterized protein ,86
7826,A0A0F0INY7,TrEMBL,Acetyltransferase GNAT domain protein ,86
7827,A0A1Q8S778,TrEMBL,Lysine acetyltransferase 2 ,86
7828,A0A0K8LS37,TrEMBL,Uncharacterized protein ,86
7829,G2R057,TrEMBL,Uncharacterized protein ,86
7830,A0A1L9RRG4,TrEMBL,Uncharacterized protein ,86
7831,A0A1E3BF31,TrEMBL,Uncharacterized protein ,86
7832,A0A1J9RJL5,TrEMBL,Uncharacterized protein ,86
7833,A0A178D007,TrEMBL,Uncharacterized protein ,86
7834,E9D619,TrEMBL,Uncharacterized protein ,86
7835,A0A0G2EWQ8,TrEMBL,Uncharacterized protein ,86
7836,A0A084RP46,TrEMBL,Uncharacterized protein ,86
7837,A0A0B7JHY8,TrEMBL,Uncharacterized protein ,86
7838,S3D1E3,TrEMBL,Uncharacterized protein ,86
7839,A0A1F5L2V1,TrEMBL,Uncharacterized protein ,86
7840,A0A146FUL5,TrEMBL,GNAT family acetyltransferase ,86
7841,S8B1R1,TrEMBL,Uncharacterized protein ,86
7842,A0A1L9WLP4,TrEMBL,Uncharacterized protein ,86
7843,A0A0D2I2H4,TrEMBL,Rhinocladiella mackenziei CBS 650.93 unplaced genomic scaffold supercont1.10,86
7844,W9YME2,TrEMBL,Uncharacterized protein ,86
7845,G9N000,TrEMBL,Uncharacterized protein ,86
7846,A0A1Y2DH47,TrEMBL,Uncharacterized protein ,86
7847,A0A0F4Z5S4,TrEMBL,Uncharacterized protein ,86
7848,A0A232LM85,TrEMBL,Uncharacterized protein ,86
7849,A0A0L1JB30,TrEMBL,Uncharacterized protein ,86
7850,A0A178DJX4,TrEMBL,Uncharacterized protein ,86
7851,G4ZEL0,TrEMBL,Uncharacterized protein ,87
7852,H3GVS1,TrEMBL,Uncharacterized protein ,87
7853,K3XAQ9,TrEMBL,Uncharacterized protein ,87
7854,D0RMQ0,TrEMBL,Uncharacterized protein ,87
7855,H3GVR9,TrEMBL,Uncharacterized protein ,87
7856,W2PH30,TrEMBL,Uncharacterized protein ,87
7857,H3GXG8,TrEMBL,Uncharacterized protein ,87
7858,W2PI73,TrEMBL,Uncharacterized protein ,87
7859,G4ZEK9,TrEMBL,Uncharacterized protein ,87
7860,A0A225UU60,TrEMBL,Uncharacterized protein ,87
7861,K3XAR4,TrEMBL,Uncharacterized protein ,87
7862,K3XAQ8,TrEMBL,Uncharacterized protein ,87
7863,M4BEV6,TrEMBL,Uncharacterized protein ,87
7864,A0A0W8D209,TrEMBL,Uncharacterized protein ,87
7865,A0A080Z582,TrEMBL,Uncharacterized protein ,87
7866,K3XAQ4,TrEMBL,Uncharacterized protein ,87
7867,A0A0W8DZZ9,TrEMBL,N-acetyltransferase CML2 ,87
7868,A0A0W8E089,TrEMBL,N-acetyltransferase CML2 ,87
7869,K3XAQ6,TrEMBL,Uncharacterized protein ,87
7870,K3XAQ3,TrEMBL,Uncharacterized protein ,87
7871,K3XAQ2,TrEMBL,Uncharacterized protein ,87
7872,K3XAP8,TrEMBL,Uncharacterized protein ,87
7873,K3XAQ7,TrEMBL,Uncharacterized protein ,87
7874,A2T2J4,TrEMBL,Putative N-acetyltransferase-like protein ,87
7875,K3XAQ5,TrEMBL,Uncharacterized protein ,87
7876,K3XAQ0,TrEMBL,Uncharacterized protein ,87
7877,K3XAP9,TrEMBL,Uncharacterized protein ,87
7878,K3XAQ1,TrEMBL,Uncharacterized protein ,87
7879,M0U0B1,TrEMBL,Uncharacterized protein ,88
7880,A0A176VDT6,TrEMBL,Uncharacterized protein ,88
7881,C5YA78,TrEMBL,Uncharacterized protein ,88
7882,B9SZI3,TrEMBL,N-acetyltransferase,88
7883,A0A1U8QAJ2,TrEMBL,uncharacterized protein LOC104607924 ,88
7884,F6HPL0,TrEMBL,Uncharacterized protein ,88
7885,A0A199UJ89,TrEMBL,Uncharacterized protein ,88
7886,A0A251R3D8,TrEMBL,Uncharacterized protein ,88
7887,D8T3P4,TrEMBL,Uncharacterized protein ,88
7888,A0A0D9W5Y4,TrEMBL,Uncharacterized protein ,88
7889,A0A0K9PIZ7,TrEMBL,Uncharacterized protein ,88
7890,W9RL19,TrEMBL,Uncharacterized protein ,88
7891,A0A022QLX1,TrEMBL,Uncharacterized protein ,88
7892,V7CJE3,TrEMBL,Uncharacterized protein ,88
7893,B9HVC3,TrEMBL,Uncharacterized protein ,88
7894,G7K2T2,TrEMBL,GNAT family acetyltransferase ,88
7895,A0A103YAN1,TrEMBL,Acyl-CoA N-acyltransferase ,88
7896,W1NVB3,TrEMBL,Uncharacterized protein ,88
7897,A0A151TGM0,TrEMBL,Uncharacterized protein ,88
7898,A0A218WUJ3,TrEMBL,Uncharacterized protein ,88
7899,A0A1D1Y716,TrEMBL,N-alpha-acetyltransferase 50 ,88
7900,A0A059D5U8,TrEMBL,Uncharacterized protein ,88
7901,A0A0A0KQC0,TrEMBL,Uncharacterized protein ,88
7902,A9RGA4,TrEMBL,Uncharacterized protein ,88
7903,A0A0K9NYW0,TrEMBL,Uncharacterized protein ,88
7904,R0GQR8,TrEMBL,Uncharacterized protein ,88
7905,A0A1Q3DFT7,TrEMBL,Acetyltransf_1 domain-containing protein ,88
7906,Q6CW60,SwissProt,N-acetyltransferase ECO1,89
7907,C4YC62,TrEMBL,Uncharacterized protein ,89
7908,I2H3Q0,TrEMBL,Uncharacterized protein ,89
7909,G8BD45,TrEMBL,Uncharacterized protein ,89
7910,A0A0V1PSU9,TrEMBL,N-acetyltransferase ECO1 ,89
7911,A5DIM9,TrEMBL,Uncharacterized protein ,89
7912,A0A1E4SDE0,TrEMBL,N-acetyltransferase ECO1 ,89
7913,A0A0W0CZV7,TrEMBL,N-acetyltransferase ECO1 ,89
7914,A0A1E3P0X4,TrEMBL,Uncharacterized protein ,89
7915,A0A0A8L287,TrEMBL,WGS project CCBQ000000000 data,89
7916,A0A061BB42,TrEMBL,CYFA0S14e00320g1_1 ,89
7917,A0A0P1KN62,TrEMBL,LAQU0S02e03378g1_1 ,89
7918,A0A1A0H7P4,TrEMBL,Uncharacterized protein ,89
7919,W0TB84,TrEMBL,N-acetyltransferase ECO1 ,89
7920,Q6FQ55,SwissProt,N-acetyltransferase ECO1,89
7921,G8JPZ0,TrEMBL,Uncharacterized protein ,89
7922,G8C1R5,TrEMBL,Uncharacterized protein ,89
7923,G0W6T4,TrEMBL,Uncharacterized protein ,89
7924,A0A1S7HAD5,TrEMBL,ECO1 (YFR027W) ,89
7925,R9XDU1,TrEMBL,AaceriAEL024Cp ,89
7926,A0A109UZX2,TrEMBL,HGL202Cp ,89
7927,W6MRF6,TrEMBL,Uncharacterized protein ,89
7928,A0A060T7B9,TrEMBL,ARAD1C20262p ,89
7929,A7TPZ0,TrEMBL,Uncharacterized protein ,89
7930,A0A0L0P114,TrEMBL,N-acetyltransferase eco1 ,89
7931,J7RIG3,TrEMBL,Uncharacterized protein ,89
7932,Q757N6,SwissProt,N-acetyltransferase ECO1,89
7933,A0A1V6T3B2,TrEMBL,Uncharacterized protein ,90
7934,A0A1S9RB44,TrEMBL,Uncharacterized protein ,90
7937,A0A1L9TYS1,TrEMBL,Uncharacterized protein ,90
7938,A0A0H1BC60,TrEMBL,Uncharacterized protein ,90
7939,A0A0F7VHI1,TrEMBL,Uncharacterized protein ,90
7940,A0A1V6SL37,TrEMBL,Uncharacterized protein ,90
7941,A0A1L9TK80,TrEMBL,Uncharacterized protein ,90
7942,S8BEM9,TrEMBL,Uncharacterized protein ,90
7943,A1CGL1,TrEMBL,GNAT family acetyltransferase,90
7944,J3KH84,TrEMBL,N-acetyltransferase ,90
7945,A0A1L9Q1B7,TrEMBL,Uncharacterized protein ,90
7946,A0A1L9PLQ5,TrEMBL,Uncharacterized protein ,90
7947,A0A1F5LU15,TrEMBL,Uncharacterized protein ,90
7948,A0A1F5L551,TrEMBL,Uncharacterized protein ,90
7949,A0A0U5FWX6,TrEMBL,Uncharacterized protein ,90
7950,Q0CY41,TrEMBL,Uncharacterized protein ,90
7951,A0A1V6N9Y4,TrEMBL,Uncharacterized protein ,90
7952,A0A0F4Z5H4,TrEMBL,GNAT family acetyltransferase ,90
7953,A0A1V6NKC5,TrEMBL,Uncharacterized protein ,90
7954,A0A1L9PWI0,TrEMBL,Uncharacterized protein ,90
7955,A0A0G2HR35,TrEMBL,Uncharacterized protein ,90
7956,C4JDT6,TrEMBL,Uncharacterized protein ,90
7957,A0A1L9RMZ6,TrEMBL,Uncharacterized protein ,90
7958,A1CCV4,TrEMBL,GNAT family acetyltransferase,90
7959,S7Z3I1,TrEMBL,Uncharacterized protein ,90
7960,A0A260ZIS5,TrEMBL,Uncharacterized protein ,91
7961,A0A261CFI8,TrEMBL,Uncharacterized protein ,91
7962,A0A1I7UZA6,TrEMBL,Uncharacterized protein ,91
7963,G0NHS8,TrEMBL,Uncharacterized protein ,91
7964,A0A0B1S7V5,TrEMBL,Acetyltransferase,91
7965,A0A260ZV61,TrEMBL,Uncharacterized protein ,91
7966,E3MH91,TrEMBL,Uncharacterized protein ,91
7967,A0A1I7XWG1,TrEMBL,Uncharacterized protein ,91
7968,A0A260YXC4,TrEMBL,Uncharacterized protein ,91
7969,A0A1I7XXG7,TrEMBL,Uncharacterized protein ,91
7970,W2TC98,TrEMBL,Acetyltransferase,91
7971,G0NHS7,TrEMBL,Uncharacterized protein ,91
7972,A8WJD8,TrEMBL,Protein CBG23825 ,91
7973,A0A016RXR7,TrEMBL,Uncharacterized protein ,91
7974,A0A183TWL1,TrEMBL,Uncharacterized protein ,91
7975,G0N515,TrEMBL,Uncharacterized protein ,91
7976,A8XQ66,TrEMBL,Protein CBG16978 ,91
7977,A0A0M3HQ38,TrEMBL,Uncharacterized protein ,91
7978,A0A0B1S9N6,TrEMBL,Acetyltransferase,91
7979,A0A0D8Y434,TrEMBL,Acetyltransferase,91
7980,A0A0M3K333,TrEMBL,Uncharacterized protein ,91
7981,A5Z2W6,TrEMBL,Uncharacterized protein ,91
7982,G0PM91,TrEMBL,Uncharacterized protein ,91
7983,A0A0K0D9D6,TrEMBL,Uncharacterized protein ,91
7984,A0A0N4YTV0,TrEMBL,Uncharacterized protein ,91
7985,A0A0B1SV45,TrEMBL,Acetyltransferase,91
7986,A0A0B1T070,TrEMBL,Acetyltransferase,91
7987,A0A225B6N1,TrEMBL,Uncharacterized protein ,92
7988,A0A179F3F4,TrEMBL,GNAT family acetyltransferase ,92
7989,A0A0A1T5D4,TrEMBL,Uncharacterized protein ,92
7990,A0A0L0N4K4,TrEMBL,Uncharacterized protein ,92
7991,A0A179G1E9,TrEMBL,GNAT family acetyltransferase ,92
7992,G3JU08,TrEMBL,GNAT family acetyltransferase,92
7993,A0A1J7JAY5,TrEMBL,Acyl-CoA N-acyltransferase ,92
7994,B8MTD5,TrEMBL,Uncharacterized protein ,92
7995,A0A0A1T6J4,TrEMBL,Uncharacterized protein ,92
7996,C7ZCC6,TrEMBL,Uncharacterized protein ,92
7997,A0A0B7JTC1,TrEMBL,Uncharacterized protein ,92
7998,J3NQE2,TrEMBL,Uncharacterized protein ,92
7999,A0A0P7AZU0,TrEMBL,Uncharacterized protein ,92
8000,E9DR21,TrEMBL,GNAT family acetyltransferase,92
8001,A0A014MWH7,TrEMBL,Acetyltransferase (GNAT) domain protein ,92
8002,A0A0D9NTS3,TrEMBL,Uncharacterized protein ,92
8003,A0A1T3CIX3,TrEMBL,Uncharacterized protein ,92
8004,F9FCT8,TrEMBL,Uncharacterized protein ,92
